 Procedimentos hospitalares do SUS - por local de internação - Brasil
Dias permanência por Unidade da Federação e Ano/mês atendimento
Período:Jan/2010-Set/2021
"Unidade da Federação";"1992/Mar";"1993/Mai";"1993/Dez";"1994/Jan";"1994/Fev";"1994/Mai";"1994/Ago";"1994/Nov";"1995/Jan";"1995/Mar";"1995/Jun";"1995/Ago";"1995/Dez";"1996/Fev";"1996/Mar";"1996/Ago";"1996/Dez";"1997/Fev";"1997/Nov";"1998/Fev";"1998/Jul";"1998/Ago";"1998/Set";"1998/Out";"1998/Dez";"1999/Fev";"1999/Mar";"1999/Mai";"1999/Jul";"1999/Ago";"1999/Set";"1999/Out";"1999/Nov";"1999/Dez";"2000/Jan";"2000/Fev";"2000/Abr";"2000/Mai";"2000/Jun";"2000/Jul";"2000/Ago";"2000/Set";"2000/Out";"2000/Nov";"2000/Dez";"2001/Jan";"2001/Fev";"2001/Mar";"2001/Abr";"2001/Mai";"2001/Jun";"2001/Jul";"2001/Ago";"2001/Set";"2001/Nov";"2002/Jan";"2002/Fev";"2002/Mai";"2002/Jun";"2002/Jul";"2002/Out";"2002/Nov";"2002/Dez";"2003/Jan";"2003/Mar";"2003/Abr";"2003/Jun";"2003/Jul";"2003/Out";"2003/Dez";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Set";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"24 Rio Grande do Norte";-;-;-;-;-;-;-;-;-;212;-;-;-;-;-;-;-;-;-;-;-;-;-;-;243;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17121;-;-;149;-;569;1960;422;3001;30;1865;180;35311;830;307;287;58;5113;648;1184;3020;12118;27430;56756;79735;71804;95549;83115;87458;81414;82262;84071;82379;78756;78533;74960;81096;79795;95023;84746;85660;84840;81659;83126;79224;77031;74615;70658;73674;73444;81260;77136;79080;85735;84730;81207;71884;74542;73202;69141;77704;69453;77059;85570;78881;77997;79402;78762;75431;78260;71099;69873;74985;80595;77741;85075;86919;75902;81046;79952;74774;76347;75756;73405;71474;69088;80528;80039;85567;79620;82517;81557;80133;75618;71256;72519;78802;75519;83957;84162;85941;80058;81209;79995;73188;77304;72280;71427;76674;72782;85008;83158;86981;83425;80208;85172;75282;77962;77559;73931;82242;72728;87302;86577;88402;84393;86788;90210;82905;88016;82791;80739;85853;77842;86871;87825;94291;82944;84559;81868;86532;88509;82425;82301;84063;80685;72917;71574;62502;70108;76592;75412;79668;80413;75294;78660;76975;76865;86723;84511;89966;79864;68102;49296;17073;11317422
"25 Paraíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42368;546;608;888;15;114;783;85;866;1219;295;-;199;550;2200;1518;2147;2148;1632;4271;3297;25870;26592;52298;100764;90320;103903;103055;107831;95831;100923;99488;98820;100717;95921;92180;92568;95157;102404;91590;100063;92217;91498;94018;93793;93355;89618;85559;93228;82921;94281;94548;102746;88043;92610;96369;88621;91552;88701;81623;90945;85956;94197;96385;103093;91901;98542;94815;88598;88436;85941;84150;91142;79647;87699;91965;91587;84646;91987;89182;87988;89386;84932;80198;83575;70306;88069;88545;89478;79786;85882;85242;82872;86311;78031;75376;82273;79689;87546;81932;88995;81018;83146;85818;80882;75951;75626;72282;79877;76435;90012;86389;92943;87665;88454;93024;88379;89967;85954;82178;89715;82479;89794;89906;90115;91015;88152;88845;84085;84699;79222;82645;86156;81020;91112;96084;92734;84614;92771;89565;85914;89668;82794;79474;84301;77917;72318;61750;65107;70569;74389;73556;68949;67209;69639;78728;82887;77771;90607;88741;100500;89540;76035;56403;28432;12388528
"26 Pernambuco";-;-;-;-;-;-;-;-;-;-;-;212;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;212;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75;434;-;-;-;-;-;-;-;-;-;-;790;57028;213;69;-;8241;62;31;1664;3812;4411;3660;555;183203;5456;620;1982;1168;1366;5740;7161;11506;33166;72436;170908;1164335;212239;252651;256038;348455;233986;231541;270266;262285;249596;228568;256542;337212;223024;250586;248388;254199;231335;265823;256861;241925;248164;247625;231382;290704;222792;247244;244956;251000;235326;256622;261530;238762;253940;229419;216848;256439;217878;247186;258577;261008;249916;253986;251585;241700;259629;239623;228060;256877;231468;248057;254237;262233;248577;264292;259853;256423;259037;244428;237905;253607;231035;261396;255702;266774;243357;260374;256696;236926;249729;243802;237144;251220;243158;261015;250414;257992;251491;244571;256584;237050;244176;234391;226339;248077;225066;263304;250929;268830;255115;255936;266527;254243;262927;238485;233048;261978;226682;250879;255957;266951;254225;256679;263052;242118;261299;243913;238222;257768;237686;258054;257550;277620;253301;268544;269354;263468;269036;255999;239842;260107;235409;221888;180004;196348;206283;227174;239716;233826;240803;225207;227769;238059;225385;268982;272533;290545;262438;236825;196432;101131;36411795
"27 Alagoas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;86303;1461;3315;3901;-;5722;1683;1985;943;1677;2611;499;252;758;4632;3191;4741;5514;2869;16166;12367;10602;26375;51045;82226;67360;86065;81573;88212;72421;77764;83034;79401;79525;77420;70418;73753;77310;86294;73224;89932;83079;81661;92058;75421;83716;75626;71587;81146;71641;85392;77092;79912;72406;79987;76542;72429;76604;72211;68647;78350;66934;79689;82264;80945;76550;83389;75299;73439;78381;69883;60695;221042;69567;75485;76980;80172;76768;78277;76685;79947;77226;76988;72962;73167;60726;83168;80024;72654;73410;78648;72697;69473;72700;70088;66308;72333;66936;73830;69606;74949;70563;73914;75846;69757;71387;62046;62627;72498;62252;73262;68228;78246;70222;73231;76291;69901;73817;71097;67911;74467;63188;72291;74348;79189;69523;71924;73874;66160;75771;68729;62060;87961;70517;70009;74332;79300;70205;78660;79004;74187;80437;73241;73095;78238;69898;68111;56462;51340;60166;63649;64486;68318;72807;69652;67620;68849;68712;80463;73954;76104;68486;55675;43039;20135;10722098
"28 Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1302;446;962;-;-;2825;-;80;899;902;-;1025;-;176;-;150;31;863;215;323;5639;13039;15903;24274;40975;35413;44102;41222;46032;38000;41551;44324;41931;42995;40786;42123;43320;36822;39713;39002;41777;36796;40153;38157;40198;41608;40808;38097;42838;39380;42860;39768;41813;37555;36500;35349;35072;42446;33298;30553;37288;32439;35823;36890;35732;34625;34254;35374;32843;33977;32515;30093;35796;30426;33197;32005;33914;31382;33993;35731;37599;33745;34148;30148;39033;35433;39848;39807;44917;37610;41299;43488;42279;43724;43461;35506;40417;40962;44198;44450;43983;44288;43629;35316;45703;39756;38414;36038;41449;38533;43551;42201;45344;43681;44682;45659;41570;45744;41585;37766;47108;40894;46518;46047;47100;44853;44541;44199;42252;51521;42661;40725;46073;42356;44651;46440;49195;45029;46572;46338;45711;49102;44581;45050;46255;44212;41722;37016;35175;36742;42493;42834;43769;44736;42155;39119;41910;41023;47997;48051;51916;39585;22890;14313;4458;5709540
"29 Bahia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1124;372504;347;4837;863;5311;328;325960;2429;1889;4535;1004;168;3244;2313;1080;6254;1719;12393;4201;7745;18178;31682;74196;172113;307902;286298;337587;315796;339274;294748;311311;319956;306107;319105;307354;293992;329145;303765;331598;319439;321151;299152;309849;437688;318867;345878;307041;298579;324752;300011;339694;316450;336396;312108;329579;324113;300532;311702;321263;343023;309704;277159;313049;331026;329043;305171;330541;328712;307723;319782;293309;287279;324706;290831;312090;323980;320188;302823;324450;322964;316651;323694;296667;288265;312535;278669;327494;317455;326261;314408;341269;327855;317657;318085;373572;290244;310097;310966;345005;322082;323055;313441;326428;330540;318126;310026;295320;285205;324412;291701;334295;309990;336245;309517;326376;335652;310280;328976;311907;290588;348018;306380;321100;325347;332158;307353;331536;327809;307832;327779;306949;293757;321929;296629;319302;323580;346744;309882;341679;330685;315538;333272;304691;296478;319388;305850;287683;227896;234898;247871;271024;276144;281654;297433;278396;274865;290309;279969;320202;315523;335893;306971;266404;192202;79591;44869759
"31 Minas Gerais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1644443;14125;22353;3637;4739;7649;18380;7925;11494;6108;7167;39212;127255;8741;20362;3889;9091;6767;21528;20553;24027;75270;140320;304262;494097;469303;544236;519014;528549;500102;518901;543399;516514;497059;488893;471023;553662;485615;539732;509404;540220;512218;522312;538356;512725;529839;506202;487739;614621;495828;548235;514948;560319;532377;553927;570059;507765;545546;495329;490399;537353;478658;604042;555604;560643;532070;553733;548786;524544;539174;495986;486479;547212;493013;538878;539538;554514;530006;545011;546242;533650;552045;505932;501026;507298;471093;555727;547964;544500;526445;527164;520740;504304;517911;497468;487986;501180;485771;538279;524476;542466;521289;515931;534712;500886;506970;472778;474149;510936;458827;558409;494035;553636;524101;526023;537554;507756;521785;495522;480400;522498;467370;537169;531894;546800;527481;554277;558329;516161;542356;512683;500087;539937;487087;535991;549590;569247;532749;563686;549102;527257;547678;511790;509384;535125;491647;465677;395582;420400;440314;477504;474580;472569;492494;470072;476152;502244;466230;572143;542441;569556;519473;452769;351080;161379;75098531
"32 Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;112;59951;-;-;3180;682;-;4696;1697;251;-;85;334;311;222;68;490;2698;1922;3556;5102;6381;20553;36043;66644;89467;78842;97940;92832;96226;84776;92324;99854;113660;95446;91138;91296;97196;86877;99626;98566;99293;95390;95501;104394;94228;93115;91483;89693;91276;87144;96008;90821;97302;93258;100387;99596;98069;99583;91410;89074;94376;84023;96645;98703;96719;91617;97655;96919;92226;98366;95883;90068;96146;90966;96786;95240;101800;94856;99731;105117;104217;99721;95879;101239;97710;89424;106868;97004;99827;99721;102052;99289;94364;98491;93362;92759;99010;93503;106316;102234;108178;100672;104817;99893;98748;102195;96532;97064;99599;89235;106311;102146;103491;97366;100034;103503;99962;103235;96027;94260;103241;92126;102224;102690;106156;96103;101329;99912;96768;101060;97997;96394;97702;90572;101801;99812;107012;98337;104111;105961;100431;105813;95559;95172;102784;98570;92769;77518;83298;86153;96098;93055;95107;99754;103513;112487;108035;100009;121128;116776;121723;108862;96735;77179;30258;13928263
"33 Rio de Janeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;31;-;123;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;61;-;-;-;-;-;-;-;-;-;-;-;61;-;1480;2344638;132262;31856;36609;20210;31316;32597;38040;24060;43408;36943;65336;70327;36094;44983;41417;61379;113394;69874;83905;80518;128643;221527;287949;537876;405237;444066;1025055;479471;431043;465706;466527;458619;434910;400703;413004;867099;603125;463995;451957;458503;433207;434810;447222;428967;429940;381162;373055;684292;374918;464665;419331;461450;423857;435092;423166;400103;424163;390213;363893;1254815;394699;430299;473940;493279;437799;450409;466561;430551;436068;375083;365709;556824;388537;433280;395233;421653;448835;422438;417883;430176;416865;399898;475680;440429;378232;435157;411683;468879;470924;505794;434655;445987;431310;392332;367966;448009;386198;476261;405381;408891;399661;651709;468688;383920;407668;375751;412289;451160;390274;410234;387739;433469;399909;413182;423967;386285;414450;380452;366363;420280;364750;413704;408582;431276;414065;408216;432033;379164;402000;387454;358930;434920;404136;410652;412722;442398;431081;436476;428516;404751;426999;387751;375980;425904;365091;334596;298143;325178;336459;376961;375826;368555;378652;358206;364580;402300;342717;420165;405886;404056;358639;335156;268791;115634;64739636
"35 São Paulo";401;243;480;486;243;243;243;243;243;-;231;-;243;123;243;243;243;486;486;138;8546;16501;16663;243;-;1215;1215;486;486;243;729;243;1582;486;157;158;243;243;243;722;486;243;-;243;-;2581;4488;231;-;818;243;-;274;486;1031;339;243;243;243;729;486;243;243;381;486;243;274;243;887;729;759;972;1458;160;243;624;486;972;729;972;243;486;1064;243;2831;243;56;729;486;729;1082;972;486;486;243;972;253;243;-;243;729;486;243;486;375;366;486;521;84;3869;13255603;203183;64498;67529;61600;60863;67340;92691;98598;96214;207972;57624;96982;61668;86395;190232;85091;86859;81067;79003;146026;220815;484079;736849;1194016;1070830;1298010;1199456;1266220;1219928;1212907;1483259;1224207;1411862;1251287;1099161;1242510;1117840;1216433;1166039;1208712;1225737;1209816;1256868;1199424;1186493;1131337;1061127;1180368;1104110;1213579;1147492;1217126;1196950;1191639;1192795;1122796;1566661;1091363;1033454;1227259;1072078;1174487;1172189;1180526;1125218;1160289;1155887;1144824;1520034;1120040;1042622;1325100;1113498;1128178;1131797;1186034;1142852;1284857;1352829;1338772;1145016;1042323;1035411;1188921;1008000;1176967;1132053;1157268;1202433;1123686;1135455;1077928;1086821;1023783;1012366;1131038;1014398;1135276;1127934;1112616;1102856;1067422;1099841;1041211;1060834;1018744;962536;1097107;961915;1121652;1033855;1109006;1080835;1062242;1263699;1022973;1122831;1027607;980157;1086645;957799;1075251;1076906;1100826;1061745;1088872;1090179;1026109;1155423;1023384;1009065;1142653;1000063;1146361;1086406;1137463;1053102;1117041;1151433;1058943;1102013;1025336;1001229;1148053;991065;949700;823308;934080;958674;1018931;1002679;985890;1013081;976655;974326;1059745;980140;1201383;1118329;1198931;1114210;984416;816938;370758;174002429
"41 Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57816;31;435;23;434;1900;3881;934;790;2331;35;3471;1294;650;854;4634;3007;1419;5667;5597;10598;34979;88267;208031;323930;298608;365340;331502;337757;327560;336429;346569;335979;327161;325884;310219;327244;310222;341689;314980;335713;317685;318996;334914;314949;321325;318865;289492;316602;292459;332343;325184;343696;316062;334267;330383;299272;330230;303889;272227;312255;280195;314862;329980;316955;307017;323386;325439;307693;322476;294636;268522;305957;288294;303537;307717;319081;302224;318368;302833;306040;322544;286904;275824;297506;271456;324951;308458;309361;303673;316057;305092;300817;306164;298474;280643;299702;285458;329164;312104;321493;318706;322925;316492;310959;302056;287400;276349;302094;277702;336130;303957;332509;321293;322897;326602;318211;321241;310023;282055;314901;289911;333861;333237;336481;340441;333961;340737;313607;335062;319783;292534;320894;295228;322088;328792;337545;316525;332341;319520;313932;325497;301709;289634;316068;300537;283087;260562;259992;261203;273661;271958;289633;295360;296308;296367;308595;298220;346067;340748;356502;303840;247359;180083;67758;43991746
"42 Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;464576;-;-;2680;2507;2373;-;5993;-;2698;2373;8520;8249;285;3537;2480;1048;3421;10084;2283;5420;25138;51757;115603;167315;163069;183050;169707;174986;178957;176124;181222;176059;172413;171316;153605;173978;171087;189971;174567;186786;182769;182136;191155;175331;181253;170215;155067;176403;164808;190088;179001;192739;181036;187296;195469;171959;188173;165918;149322;189297;157033;173251;189069;188673;184181;189910;186832;178233;194838;174297;150867;181008;168010;186606;183282;188626;183171;194279;192489;185438;186584;176079;163700;179552;163050;188128;180650;190021;192535;191589;184002;179092;184582;178175;157856;192591;176466;204066;181034;194073;218961;388005;193948;187416;182745;177853;155228;178132;167284;195850;176154;202739;190560;192816;194714;179831;187143;182214;159025;180543;165581;191945;192123;194912;192016;203415;199370;185354;196162;185394;165778;186836;170869;189301;191405;200364;186857;198785;186780;189727;194445;175294;172441;185396;173688;157899;140061;144406;154036;172024;167793;166028;178783;184881;178513;182039;182972;213134;193520;204622;187083;154209;112054;43004;26211050
"43 Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2763;-;-;-;-;-;20;-;83;287;-;19;-;4;103;731;854;657;1893;6260;17450;50790;114175;246393;359919;324481;381762;363830;376541;365212;383869;394414;368120;367599;353244;321194;357476;330593;378151;358965;380975;377862;379644;377809;364518;369257;356529;329971;369547;335021;384295;359537;395811;383036;393854;405223;352999;376690;353400;318107;380028;332951;376613;386525;392122;388920;421902;402849;385528;414696;380497;349893;395875;352199;391327;392970;404632;398795;424209;410185;402860;410508;379755;358985;385559;342892;406615;395557;400643;397619;414566;394158;384456;392347;374223;350797;372688;351736;389507;380270;399710;396865;399153;410643;384623;388533;359198;344597;372427;331485;402652;363733;406464;404340;395124;405765;373343;383956;366240;336888;381246;330121;385494;386564;393580;390688;412435;416496;376197;401324;368242;338154;384252;342214;381071;387347;410343;399302;418345;409172;388772;398023;368256;351685;393374;340585;313957;276650;306718;314221;331941;340907;348702;368709;358167;344314;364013;346868;420699;379329;395475;370618;333571;247067;76987;52878328
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33;280;1460;4933;12984;25545;42732;64607;62016;74183;64892;66990;63452;63258;67580;65249;66412;62371;55220;61494;60373;68817;65186;65375;62360;63311;61475;61331;59990;58352;55234;62295;61217;69108;63478;69978;66479;66858;67761;62294;64005;60003;53541;65483;59895;69019;70997;68344;65048;68137;66707;65748;67334;60881;57792;64499;58174;66503;64875;71308;67790;66188;70402;65197;66779;62465;59624;63207;58335;73698;69016;67725;66012;66185;65317;63363;63332;60824;58102;65085;67029;70414;67814;69946;68358;66315;67549;64531;63007;61610;56414;66611;60456;73802;66579;71691;67735;66880;67699;61064;64428;62210;59246;65245;61144;67657;68958;69679;67895;68025;70134;64737;65989;63365;61023;67567;63409;68303;70796;72685;68790;68472;70615;69364;68728;67256;64573;68621;65238;63112;52548;56458;57972;64715;66224;66678;68226;62037;66412;66408;66514;78640;75980;80196;66520;48600;26614;6885;9184297
"51 Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;307;-;-;-;-;281;893;2223;7546;20933;45331;68449;63568;72936;67831;71898;65402;66629;67430;68010;66525;64362;60874;66953;58218;66426;64022;66909;66947;63922;67056;65559;70685;65158;61008;65765;60869;70285;68266;70990;66186;69642;70241;65903;75095;65470;61466;67666;60423;70061;71474;70786;68113;67616;67781;64898;73489;68251;60904;67957;63002;71567;71843;73848;69571;68791;68376;68160;75760;69298;61733;66962;61485;76473;72571;74182;69910;72289;74023;69386;77205;71710;65403;70838;69699;76499;73762;76424;74139;71583;76243;74380;74998;69073;65596;73260;66901;80041;74445;74561;72702;74675;74120;70589;75827;69519;64999;71758;64560;76438;74754;76370;72970;74582;73633;71872;76141;73058;67784;75024;68000;74496;75505;80770;74131;74543;76810;72617;78074;71534;62615;75640;66211;61227;50816;55641;56309;63843;62675;64795;67201;63440;63354;71008;65373;81492;80373;78659;72457;61088;48108;21928;9801986
"52 Goiás";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;678;569088;368;1516;935;3482;14650;9722;5364;6506;3245;10747;-;195;5376;592;316;4273;10758;1608;11915;5424;26041;30167;87476;166426;144948;170607;157669;275262;144448;152866;162379;159853;149792;140616;134130;152528;137208;163581;141435;151909;136829;142644;152539;150215;162794;146391;129772;148808;146533;155365;148308;143345;147614;136270;152688;136832;142229;133276;122959;144938;136042;151330;155833;144268;133660;145283;146184;149284;145538;136395;123915;135413;127542;133231;144705;144583;134971;133455;134504;142627;138088;129958;145471;140222;127682;159029;155112;147474;144199;141979;137673;142194;137561;130194;134177;138809;128604;142836;132219;133718;131181;127682;136649;125453;124842;121850;116344;127085;115613;139924;122614;129283;123009;120498;127399;121533;126730;122779;121482;132019;118814;130396;130827;135434;124297;132802;131439;125361;134173;123998;122089;130764;122454;132301;133659;140047;127865;132867;140841;134037;136543;131145;127099;138888;125200;117525;101499;108292;116933;128371;130774;130285;128362;119778;121174;131014;127436;158709;150038;148379;140629;126561;98019;43566;20087183
